date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:59	302/302	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Apr%202025%2008:35:59%20GMT	http://localhost/robots.txt		(from )
09:36:08	245115/245115	---MC-	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2008:35:59%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/index.html	(from )
09:36:08	16449/16449	---M--	200	added ('OK')	text/css	etag:%224041-63331e60641ec%22	http://localhost/wordpress/wp-includes/blocks/navigation/style.min.css?ver=6.8	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-includes/blocks/navigation/style.min3e78.css	(from http://localhost/wordpress/)
09:36:09	12942/12942	---M--	200	added ('OK')	text/css	etag:%22328e-632d2c128dfa2%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks5bfa.css	(from http://localhost/wordpress/)
09:36:09	1148/1148	---M--	200	added ('OK')	text/css	etag:%2247c-632d2c03a6972%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/customer-account.css?ver=wc-9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/customer-account5bfa.css	(from http://localhost/wordpress/)
09:36:10	3709/3709	---M--	200	added ('OK')	application/rss+xml	etag:%226c76066d9387f4c5a57dcdb0bd5feab8%22	http://localhost/wordpress/index.php/feed/	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/index.php/feed/index.html	(from http://localhost/wordpress/)
09:36:10	22518/22518	---M--	200	added ('OK')	text/css	etag:%2257f6-632d2c050029b%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart-contents.css?ver=wc-9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart-contents5bfa.css	(from http://localhost/wordpress/)
09:36:10	49653/49653	---M--	200	added ('OK')	text/css	etag:%22c1f5-632d2c07ea984%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/packages-style.css?ver=wc-9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/packages-style5bfa.css	(from http://localhost/wordpress/)
09:36:12	2017/2017	---M--	200	added ('OK')	application/rss+xml	etag:%226c76066d9387f4c5a57dcdb0bd5feab8%22	http://localhost/wordpress/index.php/comments/feed/	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/index.php/comments/feed/index.html	(from http://localhost/wordpress/)
09:36:12	13038/13038	---M--	200	added ('OK')	text/css	etag:%2232ee-632d2c04cb13d%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart.css?ver=wc-9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart5bfa.css	(from http://localhost/wordpress/)
09:36:12	6808/6808	---M--	200	added ('OK')	text/css	etag:%221a98-63331e6057c8d%22	http://localhost/wordpress/wp-includes/blocks/image/style.min.css?ver=6.8	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-includes/blocks/image/style.min3e78.css	(from http://localhost/wordpress/)
09:36:12	19126/19126	---M--	200	added ('OK')	text/css	etag:%224ab6-63331e6043303%22	http://localhost/wordpress/wp-includes/blocks/cover/style.min.css?ver=6.8	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-includes/blocks/cover/style.min3e78.css	(from http://localhost/wordpress/)
09:36:12	11740/11740	---M--	200	added ('OK')	text/css	etag:%222ddc-63331e60a1523%22	http://localhost/wordpress/wp-includes/blocks/social-links/style.min.css?ver=6.8	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-includes/blocks/social-links/style.min3e78.css	(from http://localhost/wordpress/)
09:36:14	2894/2894	---M--	200	added ('OK')	text/css	etag:%22b4e-632d2ae67d430%22	http://localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.3	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles1eb7.css	(from http://localhost/wordpress/)
09:36:14	17688/17688	---M--	200	added ('OK')	text/css	etag:%224518-632d2c20cf65f%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-layouta8cb.css	(from http://localhost/wordpress/)
09:36:14	7427/7427	---M--	200	added ('OK')	text/css	etag:%221d03-632d2c20f23b4%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreena8cb.css	(from http://localhost/wordpress/)
09:36:14	82123/82123	---M--	200	added ('OK')	text/css	etag:%22140cb-632d2c20a2125%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommercea8cb.css	(from http://localhost/wordpress/)
09:36:15	9342/9342	---M--	200	added ('OK')	text/css	etag:%22247e-632d2c20b4c7f%22	http://localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-blocktheme.css?ver=9.5.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woocommerce/assets/css/woocommerce-blockthemea8cb.css	(from http://localhost/wordpress/)
09:36:15	35332/35332	---M--	200	added ('OK')	text/css	etag:%228a04-632d2d1c67b2b%22	http://localhost/wordpress/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min.css?ver=1744730904	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/woo-variation-swatches/assets/css/frontend.mine4e1.css	(from http://localhost/wordpress/)
09:36:17	3407/3407	---M--	200	added ('OK')	text/css	etag:%22d4f-632d2bde4e99b%22	http://localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min.css?ver=2.9.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.minab7d.css	(from http://localhost/wordpress/)
09:36:17	4404/4404	---M--	200	added ('OK')	font/woff2	etag:%221134-632d2bde9286f%22	http://localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2?ver=xu2uyi	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfontffc1.woff2	(from http://localhost/wordpress/)
09:36:17	32758/32758	---M--	200	added ('OK')	text/css	etag:%227ff6-632d2bdde7bf4%22	http://localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min.css?ver=2.9.2	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.minab7d.css	(from http://localhost/wordpress/)
09:36:17	226896/226896	---M--	200	added ('OK')	text/css	etag:%2237650-63331e171e90b%22	http://localhost/wordpress/wp-content/fonts/073c9db395f79c247fafeec16dac681d.css?ver=6.8	C:/My%20Web%20Sites/menuiserie/localhost/wordpress/wp-content/fonts/073c9db395f79c247fafeec16dac681d3e78.css	(from http://localhost/wordpress/)
